Date,Price,Open,High,Low,Change
12/30/2017,"13,512.00","13,448.00","13,898.00","13,426.00",1.18%
12/29/2017,"13,354.00","13,794.00","13,893.00","12,787.00",-3.23%
12/28/2017,"13,800.00","12,385.00","14,140.00","12,183.88",11.50%
12/27/2017,"12,377.00","14,308.00","14,403.00","11,690.00",-13.55%
12/26/2017,"14,317.00","14,323.00","15,105.00","13,847.00",0.01%
,,,,,
